step,name,grad_norm
1,embedding.weight,0.0007411517471075552
1,rnn.weight_ih_l0,0.007835260455947323
1,rnn.weight_hh_l0,0.11160858905278757
1,fc.weight,0.20322246678539965
2,embedding.weight,0.00020083721844355574
2,rnn.weight_ih_l0,0.0014112214073816166
2,rnn.weight_hh_l0,0.0626550021535549
2,fc.weight,0.17791933609081095
3,embedding.weight,0.00015155932902562663
3,rnn.weight_ih_l0,0.0009133097216613424
3,rnn.weight_hh_l0,0.05460839985762952
3,fc.weight,0.1685631771068104
4,embedding.weight,0.00010289152841829817
4,rnn.weight_ih_l0,0.0005198521642786622
4,rnn.weight_hh_l0,0.04716456224989207
4,fc.weight,0.1642175604451875
5,embedding.weight,8.659422743389313e-05
5,rnn.weight_ih_l0,0.0004087197992990095
5,rnn.weight_hh_l0,0.04093881949904512
5,fc.weight,0.1606097840627686
