step,name,grad_norm
1,embedding.weight,0.000870842418917784
1,rnn.weight_ih_l0,0.012072504167651488
1,rnn.weight_hh_l0,0.11846687901215475
1,fc.weight,0.23938337249345468
2,embedding.weight,0.0003177695789965525
2,rnn.weight_ih_l0,0.003005454169198203
2,rnn.weight_hh_l0,0.06969803764072598
2,fc.weight,0.2085684453610514
3,embedding.weight,0.00022111604847043363
3,rnn.weight_ih_l0,0.001673942889342027
3,rnn.weight_hh_l0,0.059535571938899697
3,fc.weight,0.1921532042324543
4,embedding.weight,0.00021338033537734386
4,rnn.weight_ih_l0,0.0015042375171009513
4,rnn.weight_hh_l0,0.05373760121950849
4,fc.weight,0.183636018731555
5,embedding.weight,0.00019918362263280991
5,rnn.weight_ih_l0,0.0012438547414844513
5,rnn.weight_hh_l0,0.04762600572993521
5,fc.weight,0.17245168892330812
